,Path_Time,Distance,RT,Sim_Time,PR_acc,Sim_con,Vividness,S_coherence,T_coherence,Fract,Coherence,Length,S_mem,G_mem,Participant
0,37.02203,138.7573533,,8.25898,5,5,4.166666667,5,3,5,4.5,1,5,5,1
1,75.6764,290.5257,3.18686,7.45321,5,5,4.666666667,5,4,5,4.75,4,5,5,1
2,60.8586,214.8923,2.86982,15.0019,5,5,4.333333333,5,3,5,4.5,2,5,5,1
3,34.2099,123.1764,1.95328,15.8052,5,5,4,5,4,4.5,4.5,1,5,5,1
4,76.0321,280.038,3.05391,17.622,5,5,4.833333333,5,5,3,4,3,5,5,1
5,39.7432,138.911,1.6036,5.6366,5,5,3.166666667,5,1,5,4,1,5,5,1
6,57.9012,203.05,5.36984,16.5858,5,5,3.333333333,5,5,3,4,1,5,5,1
7,60.057,225.073,4.9536,13.2528,5,5,2.166666667,5,5,3,4,1,5,5,1
8,107.932,384.792,2.9208,11.5847,5,5,2,5,5,3,4,5,5,5,1
9,61.131,210.916,2.52086,9.119,5,5,2,5,4,3,3.75,1,5,5,1
0,41.25649,124.6319533,,34.08992,2.5,1,1.666666667,2,2,2,2,4,4,1,2
1,60.8378,223.9969,3.47054,23.569,2.5,2,2.833333333,3,4,2,2.75,4,4,3,2
2,44.4298,154.3755,3.18707,11.6372,2.5,4,3.166666667,4,4,2,3,2,4,3,2
3,34.8936,119.5412,2.27003,10.2228,4,4,3,4,4,2,3,2,4,4,2
4,74.6868,283.1004,3.8198,27.3687,4,2,2.833333333,4,4,2,3,4,4,3,2
5,39.0206,138.7328,5.75271,5.7406,3.5,4,3,4,4,2,3,1,4,5,2
6,54.0668,192.329,4.31979,12.7696,4,4,3.166666667,4,4,2,3,2,4,4,2
7,43.0386,156.761,7.17071,13.1033,4.5,5,3,4,4,2,3,1,4,4,2
8,75.527,280.541,4.03724,31.2708,4,3,2.333333333,4,4,1.5,2.75,5,4,4,2
9,56.135,208.903,1.85245,18.32,2,4,2.666666667,4,4,1.5,2.75,3,4,4,2
0,35.69412,120.1999533,,14.81041,5,5,4.5,5,5,5,5,2,4,5,3
1,59.2903,218.7149,1.81989,15.16942,5,5,4.166666667,5,5,5,5,5,5,5,3
2,40.7844,146.4374,3.35321,6.2196,5,5,4.166666667,5,5,3.5,4.25,1,5,5,3
3,34.1716,119.1845,2.15342,14.1563,5,5,4.333333333,5,5,5,5,1,5,5,3
4,71.8954,271.3881,2.45346,14.3026,5,5,3.333333333,4,5,5,4.75,4,5,5,3
5,38.3527,136.2789,2.97085,14.4862,5,5,5,5,5,5,5,1,5,5,3
6,51.5766,191.618,2.03737,18.6356,5,5,4.333333333,5,5,5,5,1,5,5,3
7,44.8026,163.646,2.52061,12.8526,5,5,4.166666667,5,5,5,5,1,5,5,3
8,80.0969,300.652,2.52084,15.2533,5,5,3.166666667,5,5,4.5,4.75,4,5,5,3
9,37.3,131.628,2.20264,14.354,5,5,3.5,5,5,4.5,4.75,1,5,5,3
0,33.10667,123.3536533,,4.961736,5,5,4.833333333,5,4,5,4.75,1,5,5,4
1,57.431,220.9199,1.803364,15.75675,5,5,5,5,5,4.5,4.75,3,5,5,4
2,58.9657,154.4634,1.43581,7.1196,5,5,5,5,5,4.5,4.75,2,5,5,4
3,31.6349,121.0872,2.11898,4.5033,5,5,5,5,5,5,5,2,5,5,4
4,71.5266,279.3827,2.91928,7.8531,5,3,3.666666667,2,4,4.5,3.75,4,5,4,4
5,38.611,139.7949,1.58658,5.2199,3.5,5,5,5,5,5,5,1,5,5,4
6,49.176,192.326,1.88653,7.3033,5,5,5,5,5,5,5,2,5,5,4
7,40.3986,157.814,2.15283,6.5362,5,5,5,5,5,5,5,1,5,5,4
8,73.4619,284.852,2.88558,6.5062,5,5,5,5,5,5,5,5,5,5,4
9,43.3439,152.669,3.72006,4.0868,5,5,5,5,5,5,5,3,5,5,4
0,32.94581,123.3936533,,20.13656,5,5,4.166666667,5,5,5,5,1,5,5,5
1,55.4831,212.5456,1.82012,24.6375,5,5,4.333333333,5,5,5,5,1,5,5,5
2,36.0743,135.9997,1.45375,4.4705,5,5,4.166666667,5,5,4.5,4.75,1,5,5,5
3,31.0021,115.2928,2.0699,6.4359,4.5,5,4.333333333,5,5,4.5,4.75,1,5,5,5
4,70.949,277.4566,6.73633,8.2194,5,5,4.166666667,1,5,4.5,3.75,4,5,5,5
5,36.625,139.5194,1.52111,12.7572,5,5,4.333333333,5,5,5,5,1,5,5,5
6,48.7068,178.866,2.71993,15.5018,5,5,4.333333333,5,5,5,5,3,5,5,5
7,41.5405,158.688,2.40324,17.7188,3.5,5,4.166666667,5,5,5,5,1,5,5,5
8,70.9457,271.49,5.50333,35.0031,5,5,4.333333333,5,5,5,5,3,5,5,5
9,37.916,144.01,2.02086,18.4188,5,5,4.166666667,5,5,4.5,4.75,2,5,5,5
0,36.15476,121.5433533,,6.18707,4,3,3.666666667,3,4,4,3.75,2,5,4,6
1,111.9521,426.357,2.23744,5.53982,4,4,3.833333333,3,3,3.5,3.25,4,5,4,6
2,92.2457,353.1718,2.23644,0.9388,4,5,4.166666667,3,4,4,3.75,4,5,4,6
3,34.3908,116.6346,1.91987,3.904,4,5,4.333333333,3,4,3.5,3.5,1,5,4,6
4,73.8743,277.604,2.98663,7.4707,4,5,3.833333333,4,3,4,3.75,5,5,5,6
5,38.0282,135.144,2.45425,5.1376,4.5,5,4,3,4,3.5,3.5,2,5,5,6
6,50.8055,188.647,1.70273,3.6857,4.5,5,4,3,3,3.5,3.25,4,5,5,6
7,62.6583,230.213,2.85298,6.3028,4.5,5,3.833333333,4,3,3.5,3.5,4,5,5,6
8,118.8225,458.593,3.63577,5.8199,4,5,3.833333333,3,2,3.5,3,5,5,5,6
9,57.748,208.304,1.11943,3.419,4,5,4.5,4,3,3.5,3.5,2,5,5,6
0,35.67563,125.7640533,,6.07257,5,5,3,1,2,1.5,1.5,1,5,5,7
1,60.7216,236.6681,5.70405,4.6357,5,5,3,1,1,1.5,1.25,1,5,5,7
2,52.0726,199.619,4.83748,2.774,5,5,3.166666667,1,3,1,1.5,1,5,5,7
3,32.6555,123.6236,2.31991,3.9531,5,5,3.333333333,1,1,2.5,1.75,1,5,5,7
4,78.9293,282.4736,2.78566,12.9193,5,5,2.666666667,1,1,1.5,1.25,5,5,5,7
5,39.3555,139.6684,4.63656,-0.1608,5,5,3.333333333,1,2,4,2.75,1,5,5,7
6,50.6783,196.206,4.43731,6.0221,5,5,3,1,1,2,1.5,5,5,5,7
7,42.7074,166.187,2.78667,2.1389,5,5,3.333333333,2,1,3.5,2.5,1,5,5,7
8,73.3774,285.03,4.38664,8.3366,5,5,3.333333333,1,1,2.5,1.75,5,5,5,7
9,37.092,140.206,2.63762,8.553,5,5,3.666666667,2,1,2,1.75,2,5,5,7
0,118.83294,388.0291533,,12.95311,3,4,3.666666667,3,3,3.5,3.25,3,5,4,8
1,60.3665,222.6813,3.96997,11.1523,3,5,3.333333333,3,3,4,3.5,3,5,5,8
2,45.3961,151.9835,3.33594,10.3861,5,4,3.166666667,3,3,3.5,3.25,3,5,4,8
3,34.9284,121.4385,2.80305,6.9525,5,5,3.666666667,3,3,3.5,3.25,2,5,5,8
4,88.7022,306.0303,2.30364,14.0519,5,5,4,2,3,3,2.75,3,5,4,8
5,37.7914,134.723,2.95387,8.5936,4,5,4,3,3,4,3.5,1,5,5,8
6,52.345,185.808,2.80314,5.9873,5,5,3.666666667,3,3,3.5,3.25,2,5,5,8
7,47.1206,158.963,2.43666,6.2197,5,5,4,3,3,4,3.5,1,5,5,8
8,79.4218,287.742,2.68748,11.2528,5,4,3.666666667,3,3,4,3.5,3,4,4,8
9,37.911,134.161,3.11987,9.187,4.5,5,4,3,3,3.5,3.25,3,5,4,8
0,33.41023,121.0107533,,14.73528,5,5,4.666666667,4,5,3.5,4,2,5,5,9
1,56.7951,220.3674,2.76995,8.536,5,5,4.833333333,4,5,3.5,4,2,5,5,9
2,37.852,142.7374,2.68684,8.2193,5,5,4.833333333,5,5,4.5,4.75,1,5,5,9
3,34.6458,129.7079,2.1866,20.5191,5,5,4.833333333,5,5,3.5,4.25,1,5,5,9
4,69.6794,269.4306,4.61996,23.4682,4.5,5,4,4,5,4,4.25,4,5,4,9
5,38.9397,141.6787,2.61958,20.2861,4.5,5,3.833333333,5,5,3,4,1,5,5,9
6,47.6127,177.677,2.70361,20.9021,5,5,4.333333333,5,5,3.5,4.25,2,5,5,9
7,39.9853,150.694,5.43743,7.6186,4.5,5,4.5,5,5,2.5,3.75,1,5,5,9
8,79.4709,300.975,3.08659,14.9515,5,5,4,5,4,3.5,4,3,5,5,9
9,38.631,136.527,2.96999,18.101,4.5,5,4,4,4,2.5,3.25,2,5,5,9
0,47.55209,175.8789533,,10.63265,3,3,4.166666667,5,3,4,4,3,5,3,10
1,57.7924,222.614,3.32098,19.752,3,5,4.666666667,1,5,4.5,3.75,4,5,5,10
2,43.442,152.2284,2.30335,6.2362,5,5,5,1,5,4.5,3.75,1,5,5,10
