,Path_Time,Distance,RT,Sim_Time,PR_acc,Sim_con,Vividness,S_coherence,T_coherence,Fract,Coherence,Length,S_mem,G_mem,Participant
0,30.59335,126.3767533,,8.15695,4,4,4.166666667,4,3,3,3.25,1,5,4,1
1,35.4764,225.3577,21.42203,12.7697,4,4,4.166666667,3,4,5,4.25,2,5,5,1
2,33.5949,222.5528,2.23714,13.0521,5,4,4.333333333,3,3,4.5,3.75,2,5,5,1
3,19.1088,120.494,1.91994,4.7197,5,5,4.166666667,3,4,4,3.75,1,5,5,1
4,48.3628,273.179,0.18769,12.2525,5,4,3.333333333,3,4,4,3.75,3,5,5,1
5,28.1463,171.7625,8.00338,7.4864,4,5,4.166666667,2,3,4.5,3.5,1,5,4,1
6,29.0879,195.388,2.66974,4.3873,4.5,5,4.5,4,3,4,3.75,1,5,5,1
7,26.4049,168.837,2.88711,4.406,5,5,4.833333333,4,5,4.5,4.5,1,5,5,1
8,43.7282,321.436,2.78652,14.6892,5,4,3.333333333,4,4,4,4,4,5,3,1
9,34.7226,206.459,3.50266,5.7034,3.5,5,4.5,4,4,4.5,4.25,1,5,5,1
0,37.49411,126.7348533,,13.00866,1,1,1.333333333,1,1,1,1,3,5,1,2
1,35.1758,238.717,2.5025,11.6358,1,2,1.333333333,5,1,1,2,3,5,1,2
2,31.4617,173.7236,2.88668,8.8694,3,2,2,4,2,2,2.5,2,5,2,2
3,23.4806,138.798,5.08677,10.5537,4,2,2,4,2,3,3,2,5,2,2
4,114.7695,712.7323,5.88626,13.6356,5,1,1,5,1,1,2,3,5,1,2
5,30.853,205.592,3.13746,8.8021,1,1,1.166666667,1,1,1,1,3,5,5,2
6,31.3212,205.356,2.90422,7.2027,4,2,2,4,2,2,2.5,3,5,5,2
7,33.6107,193.8,3.50318,16.1062,4.5,3,2.5,4,2,2.5,2.75,2,5,5,2
8,47.864,326.999,5.80274,12.9019,5,3,2,2,2,2.5,2.25,3,5,5,2
9,34.593,218.572,3.08662,19.286,3.5,3,2,2,2,2.5,2.25,3,5,5,2
0,78.17081,554.0023533,,15.17261,1.5,2,3.5,2,4,2,2.5,1,5,4,3
1,54.7924,404.4712,4.17,17.3858,1.5,5,5,5,5,4,4.5,4,5,5,3
2,49.6347,370.4582,2.10336,38.3528,5,2,1,2,1,3,2.25,5,5,1,3
3,20.4442,127.906,2.16995,5.423,4.5,5,5,5,5,5,5,1,5,5,3
4,48.1039,340.728,5.68577,22.1188,5,3,4,2,5,2.5,3,2,5,4,3
5,20.4533,137.832,3.03726,3.0537,4,5,5,5,5,4.5,4.75,1,5,5,3
6,28.0943,204.993,7.61964,4.9529,5,5,5,5,5,3.5,4.25,1,5,5,3
7,29.6767,219.571,3.93538,3.7557,5,5,4.5,4,4,1.5,2.75,1,5,5,3
8,69.608,538.076,4.58651,11.0361,5,5,5,4,5,3,3.75,5,5,5,3
9,34.277,213.608,4.15321,18.769,5,2,3.333333333,2,4,1.5,2.25,2,5,2,3
0,18.57324,124.4859533,,9.92705,5,5,4.5,5,4,4.5,4.5,1,5,5,4
1,42.1902,241.7942,1.67061,19.6031,5,4,3.666666667,5,4,4,4.25,5,4,3,4
2,26.5106,166.9499,1.15334,23.3049,3.5,4,3.833333333,5,4,4.5,4.5,1,5,5,4
3,18.8938,119.7557,1.28653,13.4359,4.5,5,4.333333333,2,4,4.5,3.75,2,4,4,4
4,39.8643,282.5253,2.73732,10.0361,5,5,4.833333333,5,4,4.5,4.5,2,5,5,4
5,21.4441,139.0137,2.28771,1.3229,5,5,4.666666667,5,4,4,4.25,1,5,5,4
6,27.5004,189.946,4.20311,8.4024,5,4,4.5,5,4,4.5,4.5,3,5,4,4
7,27.7867,169.336,2.08661,5.5532,5,5,4.5,4,4,3,3.5,1,5,5,4
8,45.8009,323.674,2.28662,10.7056,5,5,4.666666667,5,4,4,4.25,3,5,5,4
9,34.2514,212.757,1.57064,12.8692,4.5,5,4.5,4,4,4,4,2,5,4,4
0,140.60485,781.2063533,,22.7409,2,5,4.833333333,5,4,5,4.75,4,5,5,5
1,33.376,222.9714,1.70218,18.5556,2,5,4.333333333,5,4,5,4.75,1,5,5,5
2,34.3087,188.394,1.13662,18.271,5,5,5,5,4,5,4.75,4,5,5,5
3,32.3049,134.68,2.12017,19.902,5,5,5,5,4,5,4.75,4,5,5,5
4,42.5438,281.223,1.72034,20.1019,5,5,5,5,3,5,4.5,3,1,5,5
5,21.2915,138.079,0.83746,18.7682,5,5,5,5,4,5,4.75,2,5,5,5
6,34.3369,177.893,5.07065,28.4343,5,5,5,5,5,5,5,2,5,1,5
7,26.9074,174.56,0.96988,24.535,5,5,5,5,5,5,5,1,5,5,5
8,46.727,322.415,4.23749,21.7876,5,5,5,5,5,3,4,3,1,5,5
9,31.6063,222.585,1.18559,15.2691,5,5,5,5,5,5,5,2,5,5,5
0,36.3175,152.6376533,,24.20867,5,4,4.333333333,4,4,4.5,4.25,2,5,4,6
1,47.2153,306.0229,0.15428,21.5513,5,4,4.833333333,4,4,4.5,4.25,3,5,4,6
2,38.7793,186.8226,3.58672,15.9513,5,4,5,5,5,4.5,4.75,4,5,5,6
3,22.6906,125.5491,5.55318,7.2539,4.5,5,4.666666667,5,5,4.5,4.75,2,5,5,6
4,49.4065,285.5545,4.8529,8.9864,5,5,5,1,5,4.5,3.75,4,3,5,6
5,23.3659,139.608,8.65315,6.586,4.5,5,4.5,4,5,4,4.25,1,5,5,6
6,33.2009,216.331,3.16981,12.6196,5,5,4.333333333,5,5,4.5,4.75,3,5,4,6
7,30.94,191.836,16.63709,4.386,5,5,4.666666667,5,5,4.5,4.75,1,5,4,6
8,59.492,361.829,15.8899,12.37,5,5,4.333333333,5,5,4,4.5,4,5,5,6
9,25.543,149.248,3.36897,16.753,4,5,4.333333333,1,5,3.5,3.25,2,5,5,6
0,19.55163,123.8567533,,8.67255,5,4,4.166666667,3,4,3,3.25,2,3,4,7
1,32.2038,235.7487,2.77079,6.20227,5,5,4.333333333,3,3,3,3,3,2,5,7
2,22.0142,155.591,2.45321,3.654,5,5,4,3,3,3,3,2,2,4,7
3,18.3059,119.897,2.05318,6.0867,5,5,4.333333333,3,3,3,3,3,3,4,7
4,34.3518,251.5006,3.00249,7.9702,5,5,4.166666667,3,3,3,3,4,3,4,7
5,20.8411,138.2707,2.98764,4.653,5,5,4,3,3,3,3,2,2,4,7
6,28.0405,197.083,2.68687,3.7572,4,5,3.833333333,3,3,3,3,3,4,4,7
7,25.8285,169.775,2.80244,4.1407,4,5,4.5,3,3,3,3,1,5,5,7
8,37.7272,289.47,2.40358,4.42,5,5,4.5,3,3,3,3,4,4,4,7
9,19.1563,133.06,2.7698,2.1238,5,5,4.333333333,3,3,3,3,2,2,4,7
0,44.40686,277.1990533,,19.15325,2.5,4,3.666666667,3,4,3,3.25,3,2,4,8
1,34.5234,229.8323,1.92042,22.6865,2.5,2,2,2,3,2,2.25,4,4,3,8
2,28.7546,178.8339,1.98682,14.5192,3,3,3.5,3,4,2.5,3,3,2,4,8
3,18.5203,125.8892,2.10423,12.219,4,4,4,3,4,3,3.25,1,4,5,8
4,42.1846,308.1863,2.75349,19.0858,5,3,2.166666667,2,4,3,3,4,3,2,8
5,20.8656,137.672,1.81946,7.5208,3.5,5,3.833333333,5,4,3,3.75,1,5,5,8
6,27.3123,191.803,2.4694,24.2024,5,4,3.166666667,2,4,2.5,2.75,3,5,4,8
7,24.9711,180.875,2.22066,18.4886,4,5,4.166666667,2,4,3.5,3.25,1,5,4,8
8,42.814,325.556,2.67016,20.5012,5,4,3.333333333,4,4,3,3.5,4,4,4,8
9,29.6664,213.743,1.93593,18.2852,4.5,5,3.833333333,4,4,2.5,3.25,3,4,4,8
0,30.26559,161.8553533,,11.86982,3,2,2.833333333,2,3,2,2.25,3,3,2,9
1,34.128,236.5567,3.03671,5.70269,3,4,4,4,4,3,3.5,3,5,4,9
2,24.725,168.1641,1.38706,6.253,5,2,3,2,3,2.5,2.5,2,5,4,9
3,54.1647,302.5809,2.15321,4.4741,3.5,5,2.833333333,2,4,2.5,2.75,1,4,5,9
4,48.4637,333.6717,4.80219,20.5887,3.5,2,2.833333333,2,3,2,2.25,4,5,1,9
5,21.4024,139.414,3.00294,4.3696,3,4,2.833333333,3,3,2,2.5,1,2,4,9
6,28.0881,174.215,2.2374,4.8528,3,4,3.166666667,2,3,2,2.25,3,2,5,9
7,26.5805,173.366,3.97071,0.3078,4,5,3.833333333,2,5,2.5,3,1,5,5,9
8,50.723,359.148,3.91982,6.1033,5,2,2.666666667,2,4,3.5,3.25,5,1,4,9
9,37.928,229.474,2.23631,7.137,3.5,2,2.833333333,2,3,3,2.75,4,3,2,9
0,22.41901,125.5079533,,8.80343,4.5,5,2.666666667,4,2,3,3,1,5,5,10
1,31.2549,220.8295,2.65311,16.6029,4.5,5,3.166666667,2,2,3,2.5,4,5,5,10
2,25.3426,161.8146,5.10331,7.1367,5,5,2.833333333,3,3,2.5,2.75,2,5,5,10
3,17.4181,128.3559,2.05332,5.9539,5,5,3,3,3,2.5,2.75,1,5,5,10
4,35.8929,260.5236,5.60267,9.4694,5,5,3,3,3,3,3,4,5,5,10
5,21.018,139.0192,8.00362,7.3024,5,5,3,3,3,3,3,2,5,5,10
6,26.9236,191.726,3.06958,7.8527,5,5,2.833333333,3,3,2.5,2.75,2,5,5,10
7,24.9809,164.242,6.12086,5.3695,5,5,2.666666667,3,3,2.5,2.75,1,5,5,10
8,42.7524,300.124,2.73661,14.3719,5,5,2.833333333,3,3,2.5,2.75,4,5,5,10
9,19.8901,150.547,6.63649,9.3688,5,5,2.5,3,3,3,3,2,5,5,10
