,Path_Time,Distance,RT,Sim_Time,PR_acc,Sim_con,Vividness,S_coherence,T_coherence,Fract,Coherence,Length,S_mem,G_mem,Participant
4,48.9605,284.7233,5.73754,9.1697,5,5,5,5,5,5,5,4,5,5,7
5,26.3894,138.234,2.28685,2.2207,5,5,5,5,5,5,5,1,5,5,7
6,35.235,196.653,1.53677,11.5195,5,5,5,5,5,5,5,3,5,5,7
7,31.08,162.27,1.77028,6.6541,5,5,5,5,5,5,5,1,5,5,7
8,50.9812,296.031,1.50328,12.9207,5,5,5,5,5,5,5,2,5,5,7
9,25.9466,142.321,9.12029,6.9699,3.5,5,5,5,5,5,5,2,5,5,7
0,23.75581,122.4876533,,20.07661,5,5,5,4,5,5,4.75,3,5,5,8
1,40.9936,224.5528,1.62064,30.35169,5,5,5,5,5,5,5,4,1,5,8
2,27.5627,148.5467,2.46919,35.7716,5,5,5,5,5,5,5,2,5,5,8
3,23.1759,117.7692,2.75289,26.353,5,5,5,5,5,5,5,3,5,5,8
4,48.2499,266.2427,2.42053,35.8191,5,5,5,5,5,5,5,4,5,5,8
5,34.3216,182.1757,2.48678,30.6884,5,5,5,5,5,5,5,3,5,5,8
6,34.856,188.669,2.22088,37.6546,5,5,5,5,5,5,5,3,5,5,8
7,30.9667,162.488,3.70423,32.1216,5,5,5,5,5,5,5,1,5,5,8
8,53.1695,297.633,3.06987,31.2215,5,5,5,5,5,5,5,4,5,5,8
9,36.523,196.987,2.71925,50.4726,5,5,5,5,5,5,5,4,5,5,8
0,26.24175,122.1832533,,8.69373,4.5,3,1.166666667,1,3,3,2.5,4,5,5,9
1,43.441,223.6416,2.08662,6.2371,4.5,4,1.166666667,1,3,3,2.5,4,5,5,9
2,31.1664,162.3565,6.38239,5.4858,5,2,1.166666667,1,3,3,2.5,2,4,5,9
3,23.872,125.6484,3.02,1.2872,5,5,1.166666667,1,3,3,2.5,1,5,5,9
4,45.464,257.7053,3.0362,3.0366,5,3,1.166666667,1,3,3,2.5,5,5,1,9
5,30.5812,163.2327,6.1524,3.5366,5,3,1.166666667,1,2,3,2.25,2,5,1,9
6,35.1201,188.886,3.05311,0.0212,5,5,1.5,1,2,3,2.25,1,5,5,9
7,39.2082,223.592,6.07042,5.8365,5,5,1.166666667,1,2,3,2.25,1,5,5,9
8,55.2275,309.142,3.60278,1.8031,5,5,1.166666667,1,2,3,2.25,5,5,5,9
9,29.2205,139.242,1.95233,3.7699,5,5,1,1,2,3,2.25,2,5,5,9
0,112.126,614.5975533,,38.24147,3,1,2.333333333,2,1,2.5,2,3,4,1,10
1,82.0534,433.3302,2.98744,46.0571,3,1,1.833333333,1,1,4,2.5,4,4,2,10
2,104.8323,587.44,5.30331,15.3525,2.5,3,3.166666667,3,3,2,2.5,1,3,3,10
3,31.2086,161.829,3.63661,8.4364,1,3,3,3,2,2,2.25,3,3,3,10
4,97.3668,536.085,9.90324,7.7532,3.5,1,3,3,2,2.5,2.5,4,2,2,10
5,39.7152,199.544,4.0369,19.9891,3,1,1.333333333,1,1,2,1.5,4,4,1,10
6,38.193,212.831,5.17069,10.3198,2.5,3,2.666666667,3,2,2,2.25,3,3,3,10
7,32.342,173.198,4.68656,25.436,3.5,2,3.166666667,3,2,3,2.75,3,4,1,10
8,75.072,394.399,1.8199,11.436,3.5,3,2.5,3,2,3,2.75,3,3,3,10
9,100.806,564.927,5.16991,20.236,2.5,2,2.833333333,3,3,3,3,4,2,4,10
0,24.49993,135.7945533,,12.35314,5,5,4,3,2,2,2.25,3,4,5,11
1,41.4687,239.4057,2.23776,12.63638,5,5,4.166666667,3,4,4,3.75,4,1,4,11
2,67.3726,386.8062,1.2367,10.8033,5,4,4,4,4,3,3.5,4,5,5,11
3,29.4544,154.7906,1.72004,4.4703,4.5,5,4.666666667,1,4,5,3.75,1,5,5,11
4,66.2784,385.7187,2.97014,16.1538,5,5,3.166666667,3,4,4,3.75,5,4,5,11
5,25.5716,142.513,2.81996,4.1532,4,5,4.666666667,5,5,4,4.5,1,5,4,11
6,35.9405,203.045,3.20355,8.4539,5,5,4.166666667,4,4,4,4,4,5,4,11
7,30.6746,176.091,4.83727,3.6368,5,5,4.166666667,5,5,5,5,1,5,5,11
8,87.6022,516.826,2.73761,20.3052,5,5,4.5,5,5,5,5,5,5,5,11
9,27.1749,157.948,3.90324,12.7861,3.5,5,4.833333333,5,5,5,5,2,5,5,11
0,30.69188,160.0473533,,28.29,4.5,4,4.5,4,5,4.5,4.5,3,5,5,12
1,39.7709,230.2151,2.0871,22.0196,4.5,5,4,4,3,3.5,3.5,2,5,5,12
2,32.6106,186.8559,2.35375,23.387,5,4,2.833333333,2,3,4,3.25,3,5,5,12
3,20.9196,121.2055,9.7205,24.0052,3,5,3.833333333,4,4,4.5,4.25,2,5,5,12
4,47.0617,274.9093,2.60338,38.1352,4.5,4,3,4,3,2.5,3,4,4,3,12
5,32.1721,186.6766,4.86905,29.485,2.5,5,4.166666667,4,4,4,4,3,4,5,12
6,34.2644,203.29,4.20258,27.6356,5,5,3.666666667,5,4,3,3.75,2,5,5,12
7,38.8399,230.858,2.33694,52.4578,4.5,5,3.333333333,4,4,4,4,1,5,5,12
8,51.061,303.695,3.93644,36.505,3,5,3.833333333,4,4,3,3.5,3,5,5,12
9,30.178,156.26,2.25376,35.936,4,5,4,4,4,4.5,4.25,2,5,5,12
0,24.97529,120.2604533,,5.18816,5,4,3.666666667,3,3,3,3,4,5,4,13
1,41.4254,221.9939,2.88771,6.98665,5,4,4.5,3,3,4,3.5,5,5,5,13
2,35.3425,157.7081,1.73657,12.6036,5,5,4.833333333,3,4,3,3.25,1,5,5,13
3,24.8585,121.5439,3.65326,6.3533,5,5,4.833333333,3,3,3,3,3,4,5,13
4,51.013,281.7055,3.6034,6.2707,5,4,3.833333333,3,3,3.5,3.25,5,5,2,13
5,27.2689,136.6659,2.82011,3.8906,4,5,4.833333333,4,2,4.5,3.75,1,4,5,13
6,35.6776,189.637,3.85282,0.4704,5,4,4.5,5,2,3,3.25,4,4,5,13
7,34.6977,172.61,3.45306,1.2571,5,5,5,4,4,3.5,3.75,1,5,5,13
8,58.9191,311.971,2.68677,6.0568,5,4,4,5,3,3,3.5,5,5,4,13
9,40.9793,212.201,1.92031,6.2867,4,4,4.166666667,4,4,3,3.5,5,4,4,13
0,45.21029,231.6269533,,14.63015,3,1,2.5,1,1,3,2,5,5,4,14
1,83.9231,394.8063,2.50348,13.5041,3,2,3.5,2,4,4,3.5,5,2,5,14
2,42.2352,194.2058,1.68743,3.6709,2,4,4.333333333,4,4,4,4,2,5,5,14
3,68.1666,318.6107,3.53672,3.42,4,3,3.666666667,2,2,4,3,3,5,5,14
